Title,Address,Phone No
Hotel New Royal Palace Dhanmondi,"Mirpur Road Unit Number 4 (1st floor) Kalabagan, Beside Lazz Pharma Ltd.,, 1205, ঢাকা 1205",01745-902025
Hotel Seven Star (Residential),"ঠাটারি বাজার বট তলা, 99, B C C ROAD , THATARI BAZAR, ৯৯ BCC Rd, Dhaka 1203",01912-012551
Hotel The Grand Hyatt Dhaka,"31/e Topkhana Road, Dhaka 1000",01894-895931
"InterContinental Dhaka, an IHG Hotel","G, 1 Minto Rd, 1000"
Hotel Royal Blue Residence Uttara,"Tower (Lift-3, Floor, Hosen, 4 Housebuilding Bus Stand, Dhaka 1230",01306-482404
Baridhara Guest House,"Kalachandpur Police Check Post, Dhaka 1212",01766-225044
Hotel Nandini,"105, Sukrabad Mirpur Rd, Dhaka 1207",01810-193510
Central Inn,"28/1/C, Rahmania International Complex, Toyenbee Circular Road, Dhaka 1000",01321-222622
Sky City Hotel Dhaka,"47 Shiddeshwari Circular Road, Dhaka 1217",01708-561674
Best Western Plus Maple Leaf,"Maple Leaf Hotel, Plot 1B, Rd No 1, Dhaka 1230"
Hotel Park Hyatt,"Plot # 35, Road#1/A, Block # I, Dhaka 1212",01401-146688
Hotel Sarina Dhaka,"Plot #27 Road No. 17, Dhaka 1213",01730-020313
Hotel Fountain,"02, H-05, R-02, Kabi, Kobi Faruk Sarani, Dhaka 1229",01319-407385
Dhanmondi Lake View Hotel,"Bus Stop, 10 Mirpur Road, Alta Plaza, Dhanmondi R/A, Dhaka 1205",01963-894050
"Crowne Plaza Dhaka Gulshan, an IHG Hotel","6A Madani Ave, Dhaka 1212",09609-444555
Empyrean Hotel,"Empyrean Hotel, BAF Base Bashar, Shaheen Bagh, Beside falcon tower, Tejgoan, Dhaka 1215",01322-823880
Hotel Grand Circle Inn,"873 Outer Circular Rd, Dhaka",01713-260044
White Palace Hotel,"House no: 25, Road-06, Sector-09, Dhaka, House 25 Road No. 6, Dhaka 1230",01958-579933
West Park Inn,"House No. 90, Block C Rd No 13A, Dhaka 1213",01620-003301
Hotel The Sylhet international,"হাউজ নং ০৬, রোড নং ০১ শহীদ লতিফ সড়ক, কসাই বাজার(রেল গেইট) ইরশাল, দক্ষিণখান, Dhaka 1230",01714-066151
Sky City Hotel Dhaka,"47 Shiddeshwari Circular Road, Dhaka 1217",01708-561674
Hotel Victory,"30/A VIP Rd, Dhaka",01761-646834
Hotel Grand Circle Inn,"873 Outer Circular Rd, Dhaka",01713-260044
Hotel Image Residential,"39 Lake Circus, Opposite to Square Hospital, Panthapath, Dhaka 1205",01794-737680
Hotel Blue Sky Mirpur,"Q9X3+466, Darus Salam Rd, Dhaka",01780-286060
White Palace Hotel,"House no: 25, Road-06, Sector-09, Dhaka, House 25 Road No. 6, Dhaka 1230",01958-579933
Hotel Al-Sarwar,"64/1, Near By Kamalapur Railway Station, Dhaka 1217",01400-408710
Hotel Parabat,"3, Inner Circular Road, Fakirapool, Motijheel C/A, Dhaka 1000",01761-898374
"Crowne Plaza Dhaka Gulshan, an IHG Hotel","6A Madani Ave, Dhaka 1212",09609-444555
Nagar Valley Hotel,"27 Shayesta Khan Ave, Dhaka 1230",01710-912276
FARS Hotel & Resorts,"Akram Center, 212 Shahid Nazrul Islam Rd, Dhaka 1000",01798-418363
Hotel Royal Bengal,"Royal Tower, Rajuk Commercial Plot, 4 Panthapath, Dhaka 1205",01324-291800
Star Residence Hotel,"Road 13, sector 10, house 221 Near Green Land Hospital, Dhaka 1230",01330-002121
"মোহাম্মদিয়া গেস্ট হাউজ, বারিধারা ঢাকা ১২১২ Mohammadia Guest House Baridhara Dhaka 1212","Kalachandpur Main Road (Near Baridhara Check post), Dhaka 1212",01623-697744
CCULB Resort & Convention Hall,"near Purbachal, Kuchilabari (Jora Pump, Ulukhola 1720"
Holiday Xpress,"VC27+J3G, Airport - Dakshinkhan Rd, Dhaka 1230",01779-869290
Hotel Grand Rahmania,"167/4, DIT Ave, Dhaka 1000",01404-026069
Hotel White House International Residential,"81/B/2, Chankharpul Zahir Raihan Rd, Dhaka 1211",01812-807300
Hotel In Need,"Ka-85, 3 Pragati Sarani, Dhaka 1212",01967-915906
Pacific Lake View Hotel & Resort Ltd.,"House #7,Road #23/C,Gulshan 1, Dhaka 1212",01705-459009
Hotel AS Shams International,"205/5 Al-Bashir Plaza Box Culvert Road, Fakirapool, Dhaka 1000",01970-685685
Hotel Victoria Inn,"৮৩ নাজিমুদ্দিন রোড চাখারপুল, Dhaka",01611-776727
Hotel Sarina Dhaka,"Plot #27 Road No. 17, Dhaka 1213",01730-020313
