name,link
The Grand Hotel,https://www.google.com/maps/place/The+Grand+Hotel/data=!4m10!3m9!1s0x3750552835c7d6c7:0xe2b41a5272e4e014!5m2!4m1!1i2!8m2!3d24.901723!4d91.8697793!16s%2Fg%2F11hdvmnmwt!19sChIJx9bHNShVUDcRFODkclIatOI?authuser=0&hl=en&rclk=1
Hotel Noorjahan Grand,https://www.google.com/maps/place/Hotel+Noorjahan+Grand/data=!4m10!3m9!1s0x37505528367b7ac5:0xd3af9a6aee2fd11e!5m2!4m1!1i2!8m2!3d24.9019796!4d91.8696968!16s%2Fg%2F11byxf17q1!19sChIJxXp7NihVUDcRHtEv7mqar9M?authuser=0&hl=en&rclk=1
Bottom Hill Palace Hotel,https://www.google.com/maps/place/Bottom+Hill+Palace+Hotel/data=!4m10!3m9!1s0x375055282d7f0943:0x7f48f2de97c1b173!5m2!4m1!1i2!8m2!3d24.9016625!4d91.8702805!16s%2Fg%2F11dz57h426!19sChIJQwl_LShVUDcRc7HBl97ySH8?authuser=0&hl=en&rclk=1
Richmond Hotel Sylhet,https://www.google.com/maps/place/Richmond+Hotel+Sylhet/data=!4m10!3m9!1s0x3750552bc9081703:0xa5a3f29417b4d4cb!5m2!4m1!1i2!8m2!3d24.897137!4d91.868109!16s%2Fg%2F11cnxz0svj!19sChIJAxcIyStVUDcRy9S0F5Tyo6U?authuser=0&hl=en&rclk=1
Hiltown Hotel,https://www.google.com/maps/place/Hiltown+Hotel/data=!4m10!3m9!1s0x3751aad2fba90491:0x8c1673a0474c2d5d!5m2!4m1!1i2!8m2!3d24.8903255!4d91.8631286!16s%2Fg%2F1thr5jp2!19sChIJkQSp-9KqUTcRXS1MR6BzFow?authuser=0&hl=en&rclk=1
Hotel Star Pacific,https://www.google.com/maps/place/Hotel+Star+Pacific/data=!4m10!3m9!1s0x3750552856acd63f:0x99ae707f372ece7f!5m2!4m1!1i2!8m2!3d24.9021227!4d91.8684197!16s%2Fg%2F1hf2l48j0!19sChIJP9asVihVUDcRf84uN39wrpk?authuser=0&hl=en&rclk=1
Hotel River View Sylhet,https://www.google.com/maps/place/Hotel+River+View+Sylhet/data=!4m10!3m9!1s0x3751ab906387c967:0xc2b4ec5855c396a0!5m2!4m1!1i2!8m2!3d24.8909702!4d91.8691787!16s%2Fg%2F11hf8sp6qc!19sChIJZ8mHY5CrUTcRoJbDVVjstMI?authuser=0&hl=en&rclk=1
Hotel Valley Garden,https://www.google.com/maps/place/Hotel+Valley+Garden/data=!4m10!3m9!1s0x3751ab2d04b067db:0x35ee4a2043938758!5m2!4m1!1i2!8m2!3d24.8900745!4d91.8786004!16s%2Fg%2F1hf00zmfx!19sChIJ22ewBC2rUTcRWIeTQyBK7jU?authuser=0&hl=en&rclk=1
Holy Inn,https://www.google.com/maps/place/Holy+Inn/data=!4m10!3m9!1s0x3750552a2ac6bffb:0xc2c3d656c4cb4dbe!5m2!4m1!1i2!8m2!3d24.9012794!4d91.8694992!16s%2Fg%2F11f5bmtlhr!19sChIJ-7_GKipVUDcRvk3LxFbWw8I?authuser=0&hl=en&rclk=1
Rose View Hotel,https://www.google.com/maps/place/Rose+View+Hotel/data=!4m10!3m9!1s0x3751ab31f9e7402d:0x696fd9e265716114!5m2!4m1!1i2!8m2!3d24.8861942!4d91.8812515!16s%2Fg%2F1tf46hs4!19sChIJLUDn-TGrUTcRFGFxZeLZb2k?authuser=0&hl=en&rclk=1
