Teacher Name,Website
"M. Jahirul Islam, PhD., PEng.",https://www.sust.edu/d/arc/faculty-profile-detail/1
Abu Naser,https://www.sust.edu/d/arc/faculty-profile-detail/2
Marium-E-Jannat,https://www.sust.edu/d/arc/faculty-profile-detail/3
Md Mahfuzur Rahaman,https://www.sust.edu/d/arc/faculty-profile-detail/4
Dr. Refat Kibria,https://www.sust.edu/d/arc/faculty-profile-detail/5
Dr. Md. Saiful Alam,https://www.sust.edu/d/arc/faculty-profile-detail/7
Dr. Md. Faisal Ahmmed,https://www.sust.edu/d/arc/faculty-profile-detail/8
Dr. Md. Ismail Hossain,https://www.sust.edu/d/arc/faculty-profile-detail/9
Dr Neaz Ahmed,https://www.sust.edu/d/arc/faculty-profile-detail/10
"Mohammad Ali Oakkas, PhD.",https://www.sust.edu/d/arc/faculty-profile-detail/11
Md. Ahmed Kabir Chowdhury,https://www.sust.edu/d/arc/faculty-profile-detail/12
Dr. Khalidur Rahman,https://www.sust.edu/d/arc/faculty-profile-detail/13
Dr. Luthful Alahi Kawsar,https://www.sust.edu/d/arc/faculty-profile-detail/14
Dr. Md. Azizul Baten,https://www.sust.edu/d/arc/faculty-profile-detail/15
Dr. Md Jamal Uddin,https://www.sust.edu/d/arc/faculty-profile-detail/16
Dr. Mohammad Ohid Ullah,https://www.sust.edu/d/arc/faculty-profile-detail/17
Dr. Mohammed Taj Uddin,https://www.sust.edu/d/arc/faculty-profile-detail/18
Nahid Sultana,https://www.sust.edu/d/arc/faculty-profile-detail/19
Sabbir Tahmidur Rahman,https://www.sust.edu/d/arc/faculty-profile-detail/20
"Ajit Ghosh, PhD",https://www.sust.edu/d/arc/faculty-profile-detail/21
"Muhammad Azad, PhD",https://www.sust.edu/d/arc/faculty-profile-detail/22
H. M. Syfuddin,https://www.sust.edu/d/arc/faculty-profile-detail/23
Khandaker Atkia Fariha,https://www.sust.edu/d/arc/faculty-profile-detail/24
"Mohammad Abdullah-Al-Shoeb, PhD",https://www.sust.edu/d/arc/faculty-profile-detail/25
Md Kawsar Khan,https://www.sust.edu/d/arc/faculty-profile-detail/26
Dr Mostafa Kamal Masud,https://www.sust.edu/d/arc/faculty-profile-detail/27
Payal Barua,https://www.sust.edu/d/arc/faculty-profile-detail/28
"Shamim Ahmed, PhD",https://www.sust.edu/d/arc/faculty-profile-detail/29
Dr Muhammed Zafar Iqbal,https://www.sust.edu/d/arc/faculty-profile-detail/30
"Mohammad Shahidur Rahman, PhD",https://www.sust.edu/d/arc/faculty-profile-detail/31
Dr Mohammad Reza Selim,https://www.sust.edu/d/arc/faculty-profile-detail/32
"Mohammad Abdullah Al Mumin, PhD",https://www.sust.edu/d/arc/faculty-profile-detail/33
Md Masum,https://www.sust.edu/d/arc/faculty-profile-detail/34
Mahruba Sharmin Chowdhury,https://www.sust.edu/d/arc/faculty-profile-detail/35
Dr. Husne Ara Chowdhury,https://www.sust.edu/d/arc/faculty-profile-detail/36
Md Khairullah,https://www.sust.edu/d/arc/faculty-profile-detail/37
"Dr. Md Forhad Rabbi, SMIEEE",https://www.sust.edu/d/arc/faculty-profile-detail/38
Dr. Farida Chowdhury,https://www.sust.edu/d/arc/faculty-profile-detail/39
Mohammad Khalad Hasan,https://www.sust.edu/d/arc/faculty-profile-detail/40
Md Ruhul Amin,https://www.sust.edu/d/arc/faculty-profile-detail/41
Shahidul Islam,https://www.sust.edu/d/arc/faculty-profile-detail/246
Abu Awal Md Shoeb,https://www.sust.edu/d/arc/faculty-profile-detail/43
Dr. Sadia Sultana,https://www.sust.edu/d/arc/faculty-profile-detail/44
Md Akter Hussain,https://www.sust.edu/d/arc/faculty-profile-detail/45
Md Abu Naser Bikas,https://www.sust.edu/d/arc/faculty-profile-detail/46
Marufa Rahmi,https://www.sust.edu/d/arc/faculty-profile-detail/47
Debakar Shamanta,https://www.sust.edu/d/arc/faculty-profile-detail/48
Md. Eamin Rahman,https://www.sust.edu/d/arc/faculty-profile-detail/49
Sabir Ismail,https://www.sust.edu/d/arc/faculty-profile-detail/50
Khandkar Entenam Unayes Ahmed,https://www.sust.edu/d/arc/faculty-profile-detail/51
Ayesha Tasnim,https://www.sust.edu/d/arc/faculty-profile-detail/52
Sheikh Nabil Mohammad ,https://www.sust.edu/d/arc/faculty-profile-detail/53
Biswapriyo Chakrabarty ,https://www.sust.edu/d/arc/faculty-profile-detail/54
Md Saiful Islam,https://www.sust.edu/d/arc/faculty-profile-detail/55
Dr Mohammad Abul Hasnat,https://www.sust.edu/d/arc/faculty-profile-detail/56
Dr. Ahmad Hasan Nury,https://www.sust.edu/d/arc/faculty-profile-detail/57
Dr. Mohammod Aktarul Islam Chowdhury,https://www.sust.edu/d/arc/faculty-profile-detail/58
Dr. Bijit Kumar Banik,https://www.sust.edu/d/arc/faculty-profile-detail/59
Dr. Gulam Md. Munna,https://www.sust.edu/d/arc/faculty-profile-detail/60
Dr. H.M.A.Mahzuz,https://www.sust.edu/d/arc/faculty-profile-detail/61
Dr. Md. Jahir Bin Alam,https://www.sust.edu/d/arc/faculty-profile-detail/62
Khairul Hasan,https://www.sust.edu/d/arc/faculty-profile-detail/63
Dr. Mushtaq Ahmed,https://www.sust.edu/d/arc/faculty-profile-detail/64
Dr. Muhammad Azizul Hoque,https://www.sust.edu/d/arc/faculty-profile-detail/65
Md. Aminul Islam,https://www.sust.edu/d/arc/faculty-profile-detail/66
Dr. Md Bashirul Haque,https://www.sust.edu/d/arc/faculty-profile-detail/67
Mohaiminul Haque,https://www.sust.edu/d/arc/faculty-profile-detail/68
Dr. Md. Imran Kabir,https://www.sust.edu/d/arc/faculty-profile-detail/69
Mohammad Rafiqul Islam,https://www.sust.edu/d/arc/faculty-profile-detail/70
Dr. Mohammad Shahidur Rahman,https://www.sust.edu/d/arc/faculty-profile-detail/71
Dr. Md. Misbah Uddin,https://www.sust.edu/d/arc/faculty-profile-detail/72
Nur Md. Robiul Hoque,https://www.sust.edu/d/arc/faculty-profile-detail/73
Dr. Shriful Islam,https://www.sust.edu/d/arc/faculty-profile-detail/74
Sourav Ray,https://www.sust.edu/d/arc/faculty-profile-detail/75
Dr Md Mizanur Rahman,https://www.sust.edu/d/arc/faculty-profile-detail/76
     Dr. M. Younus,https://www.sust.edu/d/arc/faculty-profile-detail/77
Dr Syed Shamsul Alam       ,https://www.sust.edu/d/arc/faculty-profile-detail/78
Dr S M Saiful Islam,https://www.sust.edu/d/arc/faculty-profile-detail/79
Dr Md Abdus Subhan,https://www.sust.edu/d/arc/faculty-profile-detail/81
Dr Md Nizam Uddin            ,https://www.sust.edu/d/arc/faculty-profile-detail/82
 Dr. Md. Ashraful Alam         ,https://www.sust.edu/d/arc/faculty-profile-detail/83
Dr Shameem Ara Begum,https://www.sust.edu/d/arc/faculty-profile-detail/84
Dr Rockshana Begum,https://www.sust.edu/d/arc/faculty-profile-detail/85
Dr Iqbal Ahmed Siddiquey,https://www.sust.edu/d/arc/faculty-profile-detail/86
Dr. Md. Rezwan Miah,https://www.sust.edu/d/arc/faculty-profile-detail/87
Dr Mohammad Jalilur Rahman ,https://www.sust.edu/d/arc/faculty-profile-detail/88
Dr Dipen Debnath,https://www.sust.edu/d/arc/faculty-profile-detail/89
Dr Mohammad Mizanur Rahman Khan ,https://www.sust.edu/d/arc/faculty-profile-detail/90
Dr Ahmed Jalal Farid Us Samed ,https://www.sust.edu/d/arc/faculty-profile-detail/91
Dr Mohammad Salim,https://www.sust.edu/d/arc/faculty-profile-detail/92
Dr Nur Uddin Ahamad,https://www.sust.edu/d/arc/faculty-profile-detail/93
Dr. Md Mahbubul Alam ,https://www.sust.edu/d/arc/faculty-profile-detail/94
 Dr Mohammad Razaul Karim,https://www.sust.edu/d/arc/faculty-profile-detail/95
Dr Md Mostafizur Rahman,https://www.sust.edu/d/arc/faculty-profile-detail/270
Dr. Sabina Begum         ,https://www.sust.edu/d/arc/faculty-profile-detail/97
Dr. Mohammad Shahadat Hussain Chowdhury ,https://www.sust.edu/d/arc/faculty-profile-detail/98
Ramkrishna Saha,https://www.sust.edu/d/arc/faculty-profile-detail/99
Dr. Md. Azharul Arafath,https://www.sust.edu/d/arc/faculty-profile-detail/100
Dr. Belal Ahmed,https://www.sust.edu/d/arc/faculty-profile-detail/101
Dr. Shishir Kanti Pramanik,https://www.sust.edu/d/arc/faculty-profile-detail/102
Dr. Md Saiful Alam,https://www.sust.edu/d/arc/faculty-profile-detail/103
Rehana Pervin,https://www.sust.edu/d/arc/faculty-profile-detail/104
Masnun Naher,https://www.sust.edu/d/arc/faculty-profile-detail/105
Md Masum Talukder,https://www.sust.edu/d/arc/faculty-profile-detail/106
Md Muyeed Hasan,https://www.sust.edu/d/arc/faculty-profile-detail/108
Rony Basak,https://www.sust.edu/d/arc/faculty-profile-detail/109
Dr. Md. Anowarul Islam,https://www.sust.edu/d/arc/faculty-profile-detail/110
Md Bahuddin Sikder   ,https://www.sust.edu/d/arc/faculty-profile-detail/111
Nusrat Jahan Koley ,https://www.sust.edu/d/arc/faculty-profile-detail/112
Dr Md Anowarul Islam    ,https://www.sust.edu/d/arc/faculty-profile-detail/114
Dr Md Elias Uddin Biswas,https://www.sust.edu/d/arc/faculty-profile-detail/115
Dr Md Shajedul Karim    ,https://www.sust.edu/d/arc/faculty-profile-detail/116
"Md Rashed Talukder, PhD    ",https://www.sust.edu/d/arc/faculty-profile-detail/117
