Title,Address,Phone No
The Grand Hotel,"4th Floor, H. S. Tower, HS Tower 3rd Floor Waves -1 East, Waves-1 Dargah Gate, Sylhet 3100",01970-793366
Hotel Noorjahan Grand,"Waves 1 Dargah Gate, Sylhet 3100",01930-111666
Bottom Hill Palace Hotel,"Waves 1/E, Dargah Gate, Sylhet 3100",01700-763512
Richmond Hotel Sylhet,"10th Floor, Al Hamra Shopping City, Hazrat Shahjalal Rd, Sylhet 3100",01721-509598
Hiltown Hotel,"VIP Rd, Taltola Rd, Sylhet 3100",01758-366051
Hotel Star Pacific,"982, East Dargah Gate, Sylhet 3100",01777-799466
Hotel River View Sylhet,"Commercial Building,Sylhet Station Club Ltd.,Hazrat Shajalal, R.) Road Bondor Bazar, Sylhet 3100",01313-727790
Hotel Valley Garden,"Sylhet Tower,Sobhanighat, Bishwa Rd, Sylhet 3100",01938-844500
Holy Inn,"Dargah Gate, Hazrat Shahjalal Rd, Sylhet 3100",01730-585003
Rose View Hotel,"Rose View Complex, Bishwa Rd, Sylhet 3100",01972-787878
Hotel Supreme,"VVQJ+858, East Tamabil Rd, Sylhet 3100",01711-197012
Hotel HGA,Sylhet 3100,01940-757826
Hotel Grand Surma,"Gazi, Syed Burhan Uddin Rd, Sylhet",01707-180152
Britannia Hotel Sylhet,"WV39+RP3, B-95 Waves Point, Hazrat Shahjalal Rd, Sylhet 3100",01784-646565
Rahma’s B & B - Bed & Breakfast,"Waves 1, H. S. Tower, Dargah Gate, Sylhet 3100",01603-251931
Hotel Holy Gate,"Holy Complex, East Dargah Gate, Sylhet 3100",01972-552233
Hotel Ali Plaza,"VVHG+68W, Sylhet",01611-454439
Hotel Garden Inn,"VVMJ+X3Q Garden Tower, Shahjalal Bridge Link Road, Sylhet 3100",01711-271185
Hotel Grand Usman,Sylhet,01321-230856
W Hotel,"WV29+GRH, Dargah Gate, Hazrat Shahjalal Rd, Sylhet 3100",01810-004180
Grand Palace Sylhet,"Jollarpar, Sylhet 3100",01713-558877
Grand Mostafa Hotel Ababil,"61 Dargah Gate, Sylhet 3100",01956-999555
